"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","Arew","Apun","K","betaF","betaP"
"10",35,2,NA,FALSE,164,3,0.116028999071568,0.136287707695738,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",36,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",37,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",38,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",39,2,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",40,2,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",41,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",42,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",43,3,NA,FALSE,164,4,0.145230097358581,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",44,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",45,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",46,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",47,3,NA,FALSE,164,4,0.128547581820749,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",48,3,NA,FALSE,164,4,0.120282794465311,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",49,3,NA,FALSE,164,1,0.25,0.494036486546975,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",50,3,NA,FALSE,164,1,0.25,0.734233472391497,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",51,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",52,3,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",53,3,NA,FALSE,164,4,0.112215198611375,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",54,3,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",55,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",56,3,NA,FALSE,164,1,0.25,0.724751983745955,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",57,3,NA,FALSE,164,1,0.25,0.576742654060945,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",58,3,NA,FALSE,164,4,0.105157356651034,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",59,3,NA,FALSE,164,4,0.120975880103651,0.627129528590012,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",60,3,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",61,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",62,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",63,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",64,4,NA,FALSE,164,2,0.25,3.20181659661466,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",65,4,NA,FALSE,164,4,0.126521780283656,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",66,4,NA,FALSE,164,4,0.13815520175267,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",67,4,NA,FALSE,164,4,0.128141401708126,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",68,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",69,4,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",70,4,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",71,4,NA,FALSE,164,4,0.141224576125387,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",72,4,NA,FALSE,164,4,0.119278017117176,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",73,4,NA,FALSE,164,1,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",74,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",75,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",76,4,NA,FALSE,164,4,0.148533762630541,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",77,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",78,4,NA,FALSE,164,2,0.25,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",79,4,NA,FALSE,164,4,0.108733264054172,0,0.110919,0.0206668,0.777979,1.38148,1.28148
"10",80,4,NA,FALSE,164,1,0.25,0.754121690674219,0.110919,0.0206668,0.777979,1.38148,1.28148
