"idx","trial","block","forced_choice","is_training","param_idx","choice","wins","losses","RT","boundary1","boundary","tau1","tau","urgency","drift_con","gain","loss","update","epP","epN","K","w","decay"
"0001",63,4,NA,FALSE,37,1,0.25,0,1.97458655571174,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",64,4,NA,FALSE,37,1,0.25,0,1.36370800550855,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",65,4,NA,FALSE,37,1,0.25,0.859177008678671,2.40284783677035,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",66,4,NA,FALSE,37,1,0.25,0,1.24967220858617,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",67,4,NA,FALSE,37,1,0.25,0,1.12026514599669,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",68,4,NA,FALSE,37,1,0.25,0,0.637185146941206,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",69,4,NA,FALSE,37,1,0.25,0.58157565316651,0.670737390576898,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",70,4,NA,FALSE,37,3,0.139799500035588,0.0782501700334251,2.55286537959867,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",71,4,NA,FALSE,37,3,0.143270518374629,0,0.749342773125561,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",72,4,NA,FALSE,37,2,0.25,3.24453448463464,1.30987122668194,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",73,4,NA,FALSE,37,1,0.25,0.49432264585048,0.870054873102774,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
"0001",74,4,NA,FALSE,37,2,0.25,0,0.601759968064465,1.863365,1.870265,0.135276,0.07927995,0.147496,0.445525,0.2448095,3.381885,0.4297815,-0.502068,-0.1980695,0.4510535,0.290817,0.4829835
